Player,No.,Flag,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Player-additional
Kevin Bahl,88,ca,D,22,6-Jun,230,L/-,2,June 27 2000,2 G 6 A 8 P,bahlke01
Nathan Bastian,14,ca,RW,25,4-Jun,205,R/-,3,December 6 1997,6 G 9 A 15 P,bastina01
Mackenzie Blackwood,29,ca,G,26,4-Jun,225,-/L,4,December 9 1996,10-6-2 3.20 GAA,blackma01
Jesper Boqvist,70,se,C,24,1-Jun,184,L/-,3,October 30 1998,10 G 11 A 21 P,boqvije01
Jesper Bratt,63,se,W,24,10-May,175,L/-,5,July 30 1998,32 G 41 A 73 P,brattje01
Nolan Foote,25,us,LW,22,3-Jun,196,L/-,2,November 29 2000,1 G 0 A 1 P,footeno01
Ryan Graves,33,ca,D,27,5-Jun,220,L/-,4,May 21 1995,8 G 18 A 26 P,gravery01
Dougie Hamilton,7,ca,D,29,6-Jun,230,R/-,10,June 17 1993,22 G 52 A 74 P,hamildo01
Erik Haula,56,fi,LW,31,11-May,191,L/-,9,March 23 1991,14 G 27 A 41 P,haulaer01
Nico Hischier (C),13,ch,C,24,1-Jun,175,L/-,5,January 4 1999,31 G 49 A 80 P,hischni01
Alexander Holtz,10,se,RW,21,Jun-00,195,R/-,1,January 23 2002,3 G 1 A 4 P,holtzal01
Jack Hughes,86,us,C,21,11-May,175,L/-,3,May 14 2001,43 G 56 A 99 P,hugheja03
Luke Hughes,43,us,D,19,2-Jun,184,L/-,R,September 9 2003,1 G 1 A 2 P,hughelu01
Andreas Johnsson,11,se,LW,28,10-May,194,L/-,5,November 21 1994,0 G 0 A 0 P,johnsan01
Curtis Lazar,42,ca,C/RW,27,Jun-00,203,R/-,8,February 2 1995,0 G 0 A 0 P,lazarcu01
John Marino,6,us,D,25,1-Jun,181,R/-,3,May 21 1997,4 G 14 A 18 P,marinjo01
Michael McLeod,20,ca,C,24,2-Jun,190,R/-,4,February 3 1998,4 G 22 A 26 P,mcleomi01
Timo Meier,96,ch,RW,26,1-Jun,220,L/-,6,October 8 1996,9 G 5 A 14 P,meierti01
Dawson Mercer,91,ca,C,21,Jun-00,180,R/-,1,October 27 2001,27 G 29 A 56 P,merceda01
Nikita Okhotyuk,82,ru,D,22,1-Jun,195,L/-,1,December 4 2000,1 G 0 A 1 P,okhotni01
Ondřej Palát,18,cs,LW,31,Jun-00,194,L/-,10,March 28 1991,8 G 15 A 23 P,palaton01
Akira Schmid,40,ch,G,22,5-Jun,205,-/L,1,May 12 2000,9-5-2 2.13 GAA,schmiak01
Damon Severson,28,ca,D,28,2-Jun,205,R/-,8,August 7 1994,7 G 26 A 33 P,severda01
Yegor Sharangovich,17,by,C,24,2-Jun,196,L/-,2,June 6 1998,13 G 17 A 30 P,sharaye01
Jonas Siegenthaler,71,ch,D,25,2-Jun,218,L/-,4,May 6 1997,4 G 17 A 21 P,siegejo01
Brendan Smith,2,ca,D,33,2-Jun,200,L/-,11,February 8 1989,0 G 5 A 5 P,smithbr05
Tomáš Tatar,90,cs,LW,32,10-May,173,L/-,11,December 1 1990,20 G 28 A 48 P,tatarto01
Tyce Thompson,12,us,RW,23,1-Jun,175,R/-,2,July 12 1999,0 G 0 A 0 P,thompty01
Vítek Vaněček,41,cz,G,27,2-Jun,184,-/L,2,January 9 1996,33-11-4 2.45 GAA,vanecvi01
Miles Wood,44,us,LW,27,2-Jun,195,L/-,7,September 13 1995,13 G 14 A 27 P,woodmi01
Fabian Zetterlund,49,se,W,23,11-May,220,R/-,1,August 25 1999,6 G 14 A 20 P,zettefa01
Sammy Blais,91,ca,LW,26,2-Jun,206,L/-,5,June 17 1996,0 G 5 A 5 P,blaissa01
Jonny Brodzinski,76,us,C,29,Jun-00,204,R/-,6,June 19 1993,1 G 1 A 2 P,brodzjo01
Ryan Carpenter,22,us,C,32,1-Jun,198,R/-,7,January 18 1991,1 G 2 A 3 P,carpery01
Filip Chytil,72,cz,C,23,2-Jun,204,L/-,5,September 5 1999,22 G 23 A 45 P,chytifi01
William Cuylle,50,ca,LW,20,3-Jun,211,L/-,R,February 5 2002,0 G 0 A 0 P,cuyllwi01
Adam Fox,23,us,D,24,11-May,182,R/-,3,February 17 1998,12 G 60 A 72 P,foxad01
Julien Gauthier,12,ca,RW,25,4-Jun,224,R/-,3,October 15 1997,6 G 3 A 9 P,gauthju01
Barclay Goodrow,21,ca,RW,29,2-Jun,204,L/-,8,February 26 1993,11 G 20 A 31 P,goodrba01
Libor Hájek,25,cz,D,24,2-Jun,209,L/-,4,February 4 1998,1 G 0 A 1 P,hajekli01
Jaroslav Halák,41,cs,G,37,11-May,189,-/L,16,May 13 1985,10-9-5 2.72 GAA,halakja01
Ben Harpur,5,ca,D,28,6-Jun,231,L/-,6,January 12 1995,1 G 5 A 6 P,harpube01
Dryden Hunt,29,ca,LW,27,Jun-00,193,L/-,5,November 24 1995,1 G 0 A 1 P,huntdr01
